fish_id,sex,length,gut_length,Gap,raker_length,Comp1,Comp2,Comp3,Station,basin,tanypodinae,orthocladinae,chironominii,tanytarsini,unknown larvae,adult_fly,Alona rectangula,Alona affinis/quad,Unknown alona,alonella nana,macrothrix hirsuticornix,acroperus harpae,daphnia longispina,resting eggs,Copepods_adult,Copepods_nauplii,ostracod,snail,bivalve,stickleback_eggs,chrinominae,alona,copepods,other_cladocerans,mollusks,Site,gut_length_res,Gap_res,raker_length_res,length_z,gut_length_z,Gap_z,raker_length_z,Comp1_z,Comp2_z,Comp3_z
RG210016,F,56,27,0.118,1.007,0.0135450053949336,-0.00435840921384692,0.00531784926055537,Shore,North,0,10,0,0,1,1,4,0,6,0,0,0,0,0,10,0,2,0,0,0,0,10,10,0,0,Shore/North,-1.635987732187699,-0.08025563987549492,-0.25478424092575525,0.08209227268518034,-0.2907284860307204,-1.7011077735846558,-1.3754581270565551,0.2685015934718034,-0.11340234487455918,0.18990620739891326
RG210019,F,52,21,0.149,1.1484999999999999,-0.0533099642126136,-0.0270644984133455,-0.0313182181119396,Shore,North,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,Shore/North,-4.875044835549253,-0.03320882820360915,-0.013437659779120426,-0.39427415472741534,-0.8663355943848279,-0.7038981421920726,-0.07254349124833884,-0.9787164287661047,-0.6125948524205078,-1.268250369672656
RG210022,M,50,21,0.155,1.135,-0.0521844657546252,-0.0352296188697436,-0.0550073712225623,Shore,North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shore/North,-3.4945733872300293,-0.01918542236766627,0.02298563079419718,-0.6324573684337131,-0.6210144551842331,-0.40665641915973527,0.12408841522742708,-0.957719605806729,-0.7921047151376021,-2.211105236225368
RG210023,F,57,29,0.153,1.341,0.00985630921287038,0.0546393025459885,-0.0254180386894128,Shore,North,0,1,12,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,0,2,0,0,Shore/North,-0.32622345634731076,-0.04926734279346634,0.054254113787586065,0.20118387953832925,-0.05797259337925214,-1.0442762644450068,0.2928919836809375,0.19968683843061566,1.1836601045020476,-1.033416610268695
RG210025,M,59,35,0.321,1.3335,-0.0316994969930735,0.00675632473704399,-0.0266024179006225,Shore,North,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Shore/North,4.293305095333466,0.11070925137059077,-0.003169176785731451,0.4393670932446271,0.7629556541754501,2.3466060255256087,-0.017108868076670156,-0.5755606971367052,0.13095465834613845,-1.0805562314243444
RG210026,F,54,21,0.164,1.134,0.0421914128601365,0.0386020683140799,0.0201931264383414,Shore,North,2,0,4,0,0,13,0,0,2,1,0,0,0,0,0,0,0,0,0,4,4,2,0,1,0,Shore/North,-6.2555162838684755,-0.026232234039552015,-0.07786095035243784,-0.15609094102111748,-1.1116567335854226,-0.5560214498619841,-0.42033399143322675,0.8029168489525009,0.8310821198042262,0.7819589250668509
RG210027,M,52,20,0.149,1.342,-0.0935939337626933,0.0227074954897808,-0.0331102646665819,Shore,North,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shore/North,-5.875044835549254,-0.03320882820360915,0.1800623402208798,-0.39427415472741534,-1.044043825510711,-0.7038981421920726,0.9720703617057802,-1.7302371178798521,0.4816405407273337,-1.3395758327334626
RG210028,F,57,26,0.258,1.1705,0.00156609811787714,0.0396077179601214,0.0596784982208273,Shore,North,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,Shore/North,-3.3262234563473108,0.05573265720653368,-0.11624588621241382,0.20118387953832925,-0.5910972867569007,1.1813158123671204,-0.6275558815835429,0.04502816837918257,0.8531912890279267,2.353521013796217
RG210029,F,56,31,0.161,1.0510000000000002,0.0410389166643794,0.0277586359884415,0.0223652876270753,Shore,North,6,85,0,0,0,6,0,0,0,0,0,0,0,0,0,0,12,0,0,6,0,0,0,0,0,Shore/North,2.364012267812301,-0.03725563987549489,-0.210784240925755,0.08209227268518034,0.42010443847281087,-0.7896748278425463,-1.137923194085075,0.7814163676218413,0.5926896724971943,0.8684133769491472
RG210030,M,52,32,0.16,1.2205,0.00538618045486338,-0.0683407123881512,-0.0555984908878637,Shore,North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shore/North,6.124955164450747,-0.02220882820360914,0.05856234022087963,-0.39427415472741534,1.0884549479998833,-0.47074087700223044,0.31615003543226344,0.11629400792844005,-1.5200508469359086,-2.234632461978935
RG210031,F,53,26,0.144,1.1059999999999999,0.023470560966442,0.0235452908475174,-0.0213438807161339,Shore,North,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shore/North,-0.5652805597088638,-0.04222053112158059,-0.08089930506577912,-0.2751825478742664,-0.10045500835571106,-0.8949112337427578,-0.4367366137781608,0.4536685580546676,0.5000594398060938,-0.871260552841382
RG210032,F,65,22,0.253,1.483,-0.00952267299162086,-0.0349346799409241,0.011825210935042,Shore,North,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,Shore/North,-12.848109249624203,0.018639033862762153,-0.00343904850568363,1.1539167343635206,-2.2832147680628108,0.39507510556567976,-0.018565776279164215,-0.1618392530469679,-0.7856204940039349,0.4489065015232752
RG210033,M,51,26,0.122,1.2645,-0.0516521485689382,-2.0211899679913e-4,-0.020091210354933,Shore,North,2,0,1,0,0,11,3,0,3,0,0,0,0,0,12,0,0,0,0,0,1,6,12,0,0,Shore/North,0.8151908886103595,-0.0561971252856377,0.1275239855075384,-0.5133657615805642,0.14486613084488367,-1.1911607311936543,0.6884409397679316,-0.9477889216491694,-0.022026462515099442,-0.8214028673120928
RG210037,M,54,20,0.274,1.079,-0.0349717541780966,0.0166803302239577,0.0160668744501486,Shore,North,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,Shore/North,-7.255516283868476,0.08376776596044799,-0.13286095035243775,-0.15609094102111748,-1.2893649647113055,1.7755512020364346,-0.717252657647575,-0.6366065424720021,0.3491335415693052,0.6177294674107296
RG210040,M,46,14,0.166,1.1755,-0.0785839748247775,0.0429697208911106,-0.00149773733404,Shore,North,3,15,1,0,0,9,3,0,7,0,0,0,0,0,9,1,0,0,0,0,1,10,10,0,0,Shore/North,-7.733630490591584,0.007861389304219498,0.16333221194083206,-1.1088237958463087,-1.3743297946642237,0.1666309118876811,0.8817524094420215,-1.450217675640719,0.9271047956098698,-0.08136178428982603
RG210042,F,63,27,0.157,1.0910000000000002,-0.0509065883147709,0.0200558432103193,0.0230941421066594,Shore,North,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,Shore/North,-6.467637801304981,-0.06933756030129497,-0.34551575793236605,0.9157335206572227,-1.1493524732328022,-1.4696869031623345,-1.8652741454785076,-0.933880065043291,0.42334406620482773,0.897422602811952
RG210043,M,51,16,0.247,1.389,-0.0648677745590869,-0.00510451425673564,-0.00243071900852283,Shore,North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shore/North,-9.18480911138964,0.06880287471436229,0.25202398550753846,-0.5133657615805642,-1.6322161804139446,1.4583536459636393,1.3605568296531396,-1.1943340477157354,-0.1298054358683408,-0.11849550148447636
RG210044,F,70,31,0.287,1.2810000000000001,-0.0403484852443236,0.0459086513090785,0.0752692309159837,Shore,North,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,18,1,2,0,0,0,Shore/North,-7.299287870422262,0.03258051927290494,-0.33024727493897726,1.749374768629265,-1.2971435359313521,0.6905804338304954,-1.7828469162873537,-0.7369125619929163,0.9917170690823469,2.9740496636008817
RG210047,F,48,23,0.126,1.0234999999999999,0.0252980577947605,0.012747065944564,0.0156572981348378,Shore,North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shore/North,-0.11410193891080529,-0.04016201653172338,-0.03859107863248548,-0.8706405821400109,-0.02027685373187264,-0.85127872173144,-0.20833475627873896,0.48776156554896977,0.2626608759675683,0.6014278706287683
RG210049,F,53,28,0.149,1.4985,-0.0152845671103848,0.0123617338040858,0.0555214205352058,Shore,North,0,7,0,0,0,1,0,2,2,0,0,0,0,0,116,0,1,0,0,0,0,4,116,0,0,Shore/North,1.434719440291136,-0.03722053112158059,0.31160069493422093,-0.2751825478742664,0.25496145389605457,-0.788930658656466,1.68218295875151,-0.26933071148804294,0.25418936351320837,2.1880646588044326
RG210054,M,55,29,0.242,1.2245,0.0073369646230176,0.067111077051334,0.0235169768083748,Shore,North,22,79,0,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shore/North,1.0542479919719125,0.04775606304247654,-0.012322595639096526,-0.03699933416796858,0.1873485458213426,1.0122430050197735,-0.06652379384471437,0.1526870118636877,1.457851592704628,0.9142518982450991
RG210055,M,51,25,0.21,1.2894999999999999,0.013927538202001,0.0282138751477796,0.0419038435478439,Shore,North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shore/North,-0.18480911138964054,0.031802874714362286,0.15252398550753832,-0.5133657615805642,-0.03284210028099916,0.6740973903250803,0.8234039698653625,0.27563796364551535,0.6026980881026486,1.6460698195109613
RG210056,F,42,22,0.118,0.9864999999999999,-0.0599959643380163,-0.0484744836267045,0.0203639968017911,Shore,North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shore/North,3.027312406046864,-0.024091799023894755,0.07417879308746689,-1.5851902232589044,0.5379783327440286,-0.5106525430831457,0.4004557873621967,-1.103447617816646,-1.0832925631215817,0.7887597572019575
RG210057,M,60,28,0.189,1.9355,0.0225720199440689,-0.0689236121021894,-0.0245471939208362,Shore,North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shore/North,-3.396930628826145,-0.02530245154738065,0.5738691779276098,0.558458700097776,-0.603662533306027,-0.5363136732168868,3.0980449253052855,0.43690575697342543,-1.532865874981556,-0.9987560116297243
RG210058,F,57,27,0.138,1.35,0.00961489012218092,0.0378737948957582,0.00798358865080164,Shore,North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shore/North,-2.3262234563473108,-0.06426734279346633,0.06325411378758618,0.20118387953832925,-0.4133890556310178,-1.3622179897038817,0.3414786745160134,0.19518302603510168,0.8150710563984197,0.29600562536113206
