fish_id;length;weight;gut_length;stomach;parasite;parasite_n;parasite_weight;eggs;sex;site;site.pull;basin;lake/shore;Station;NR.2;NR.3;Gap;Morphology;tanypodinae;orthocladinae;chironominii;tanytarsini;unknown larvae;adult_fly;Alona rectangula;Alona affinis/quad;Unknown alona;alonella nana;macrothrix hirsuticornix;acroperus harpae;daphnia longispina;resting eggs;Copepods_adult;Copepods_nauplii;ostracod;snail;bivalve;stickleback eggs;Fullness;Algae A;Parasite;Unknow;total_nr;hlutf.tanypodinae;hlutf.orthocladinae;hlutf.chironominii;hlutf.tanytarsini;hlutf.unknown larvae;hlutf.adult_fly;hlutf.Alona rectangula;hlutf.Alona affinis/quad;hlutf.Unknown alona;hlutf.alonella nana;hlutf.macrothrix hirsuticornix;hlutf.acroperus harpae;hlutf.daphnia longispina;hlutf.resting eggs;hlutf.Copepods_adult;hlutf.Copepods_nauplii;hlutf.ostracod;hlutf.snail;hlutf.bivalve;hlutf.stickleback eggs;mouth
RG210001;69;2,52;34;1;0;0;0;1;F;GS;GS;North;Shore;Shore;1,338;1,366;0,187;1;0;0;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;8;0;0;0;0;0;0,625;0;0,125;0;0;0;0;0;0;0;0;0;0;0;0,25;
RG210004;47;0,81;;1;0;0;0;0;F;GS;GS;North;Shore;Shore;1,383;1,481;0,129;1;0;5;27;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;39;0;0,128205128;0,692307692;0;0;0,102564103;0,076923077;0;0;0;0;0;0;0;0;0;0;0;0;0;
RG210007;48;0,65;25;1;0;0;0;1;F;GS;GS;North;Shore;Shore;1,108;1,129;0,116;1;;;;;;;;;;;;;;;;;;;;;;;;;;;NA;;;;;;;;;;;;;;;;;;;
RG210008;58;1,47;25;1;0;0;0;0;F;GS;GS;North;Shore;Shore;1,57;1,533;0,205;1;0;4;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;10;0;0,4;0;0;0;0,5;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;
RG210009;48;0,7;28;1;0;0;0;0;F;GS;GS;North;Shore;Shore;1,087;0,946;0,162;1;0;4;1;0;0;13;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;0;0;0;21;0;0,19047619;0,047619048;0;0;0,619047619;0;0;0;0;0;0;0;0;0,142857143;0;0;0;0;0;
RG210010;58;1,48;30;1;0;0;0;0;M;GS;GS;North;Shore;Shore;1,593;1,463;0,212;1;;;;;;;;;;;;;;;;;;;;;;;;;;;NA;;;;;;;;;;;;;;;;;;;
RG210011;65;2,8;14;1;1;4;0,56;0;M;GS;GS;North;Shore;Shore;1,237;1,255;0,264;1;;;;;;;;;;;;;;;;;;;;;;;;;;;NA;;;;;;;;;;;;;;;;;;;
RG210012;46;0,77;25;1;0;0;0;0;M;GS;GS;North;Shore;Shore;1,179;1,151;0,201;1;0;1;0;0;0;1;1;3;3;0;0;0;0;0;38;2;0;0;0;0;2;0;0;0;49;0;0,020408163;0;0;0;0,020408163;0,020408163;0,06122449;0,06122449;0;0;0;0;0;0,775510204;0,040816327;0;0;0;0;
RG210013;57;1,4;14;1;0;0;0;0;F;GS;GS;North;Shore;Shore;1,237;1,268;0,099;1;;;;;;;;;;;;;;;;;;;;;;;;;;;NA;;;;;;;;;;;;;;;;;;;
RG210014;49;0,95;19;1;0;0;0;0;F;GS;GS;North;Shore;Shore;1,103;1,267;0,09;1;0;2;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;17;0;0,117647059;0;0;0;0,764705882;0;0;0;0;0;0;0;0;0;0;0;0;0;0,117647059;
