"fish_id","Comp1","Comp2","Comp3","Comp4","Comp5","Comp6","Comp7","Comp8","Comp9","Comp10","Comp11","Comp12","Comp13","Comp14","Comp15","Comp16","Comp17","Comp18","Comp19","Comp20","Comp21","Comp22","Comp23","Comp24","Comp25","Comp26","Comp27","Comp28","Comp29","Comp30","Comp31","Comp32","Comp33","Comp34","Comp35","Comp36","Comp37","Comp38","Comp39","Comp40","Comp41","Comp42","Comp43","Comp44","Comp45","Comp46","Comp47","Comp48","Comp49","Comp50","Comp51","Comp52","Comp53","Comp54","Comp55","Comp56","Comp57","Comp58","Comp59","Comp60","Comp61","Comp62","Comp63","Comp64","Comp65"
"RG210001",-0.0375315775983624,-0.038028456195102,-0.0173987833471977,0.0116437892467513,-0.0182637698849762,0.0143054816863394,-0.0130904512751716,0.0136198686427638,-0.0172653285988653,0.0240804450544831,0.00909040064964974,-0.00167227554465733,0.00741544337601761,0.0134678421372702,0.0157077608123493,0.0145575046204394,0.00610940589959951,0.000762932462445239,-0.0012556895512677,-0.000226066323037479,-0.00146833060750814,-0.0019532607691339,0.00381725814373933,0.00307875748346337,0.00310180153508656,-0.00373907373209156,-0.00233241261177974,0.00480536087782475,0.00172187742219456,0.000692178583998177,0.000850744882389377,-0.00136070881290937,-0.000928263027800904,0.00246903050631768,0.000872091284180941,0.000637500712732466,-0.000308578343318315,-0.000445933045309322,0.00121344001194223,-0.000289118403784573,-0.00163139790600514,-0.00040131735808474,0.000192654717906131,-0.00101606008611818,0.00124280406506085,0.000511890213349542,2.0633137015416e-05,0.000268034898923337,-4.82737410196847e-05,0.000247476595316985,-7.44381981872202e-05,0.00017090174506958,-0.000136242989287581,-0.000436616787885925,-0.000109705071692429,7.34845398597174e-06,-8.1777368936724e-05,9.34825303720109e-05,-1.98455768186831e-05,0.000153385861689674,-2.819143028147e-05,3.25929515413858e-05,-6.00797592687955e-06,-2.83223662028563e-07,-2.15893544935611e-09
"RG210004",0.0775182463107798,-0.0709121375261046,0.0137284459939086,-0.00821109604033064,0.0146474009392528,-0.00602359954182878,0.0233069952721419,-0.00129981605543218,-0.00546307181675344,-0.0370193847867732,0.0159365357891137,0.00482635418623662,-0.00343984534899059,-0.000951702614759793,0.0196995655122622,-0.0030338755183029,-0.00277476688699644,0.000205651162700892,-0.00556453116738411,0.005212467607807,-0.00333622111045314,0.00202245127194099,0.005326578227773,0.00300904501713,0.00317097079905823,0.00742613626494686,0.00342869214759639,-0.00269886460449603,0.00295383479843564,-0.00289813552404846,0.000873993617427507,0.00357793171443815,-0.00196261587048092,0.00066553263488763,0.00158771945578283,0.00150306193334179,0.000168673066580037,0.000123061764173272,-0.00354761485101847,0.00246567334541024,-7.37198460554568e-05,0.000264716325200565,-0.00158520988328457,0.00057981254261846,-7.28110127439814e-06,-0.000322611911177957,-0.000102761403947019,-0.000175701994483636,0.00052831885515923,-0.0004369905198505,0.000460832179644011,0.000339471021941794,-0.000275346719267331,5.59213639053267e-05,0.00011446972134493,4.35400840679447e-05,-0.00011750122285514,9.79034475843406e-05,0.000113178149857269,4.6889478134249e-05,-8.52888211500806e-05,5.44156468004022e-05,1.8434691161587e-05,9.65779605691739e-06,-4.5603628021316e-09
"RG210007",-0.0748043746831435,0.0376942386259962,-0.0138957669065145,-0.0132996346104837,0.0233958920255094,0.0625034817072255,-0.00840672550368187,-0.0164555013571339,0.0423742713540693,-0.0519900049831094,0.0253508861894083,-0.00259650964681748,-0.0386955469318787,-0.000306279489426328,0.000531458507578987,0.0175402604955715,0.0132992295178513,-0.00124185112539693,0.020471389830168,-0.0138810553636225,-0.00452654796107251,0.00480646107794488,0.0077331934377076,0.0036448127187526,0.0059764906266899,-0.00588247657561058,7.23666047830667e-05,0.00156173470753646,-0.00181788703952131,-0.0039792410898892,0.00317608940556703,-0.000813563915062996,-0.00263524743758056,-0.000143654235714104,-0.000616489334070808,-0.00106102172681776,9.25567935011367e-07,-0.000492320307851724,0.00013636276164395,-0.00106956209940435,-0.000306467285362406,-0.000461161563706772,-0.000429630496701663,7.14116067855266e-05,0.000515465445117648,-0.00147640233459026,-0.00269582007718348,0.0010988920065281,0.000188582114713404,4.90529409375932e-05,-0.000217255956067977,0.000172394305346029,0.000411590505233791,4.19443028979848e-05,0.000125238125112645,5.67351559452388e-05,0.000110584597181567,1.5825531196321e-05,-4.83788400440462e-05,9.21606961646903e-06,-2.83867322523764e-05,-2.23446369904126e-05,-1.94547850066733e-05,2.14427510700622e-06,1.59358358741139e-09
"RG210008",0.0759885182364874,0.00097047099888982,-0.0141840664279776,0.00369390828628591,-0.00432603856805515,-0.00637020119113703,-0.00267473109722698,0.00124323835057972,-0.0201348542309136,-0.000782034538041668,0.0103403855105913,0.00779064328744802,-0.0154405635541112,-0.017575607167033,0.0128640704184367,0.00558065692931829,-0.000622745114261961,0.0102047649123385,0.000989045844361255,-0.00512198596636887,-0.00345058429956639,0.00708696597132489,0.000187231095291432,-0.0017517590197206,0.00617302988119459,0.00119106169888788,-0.000901761116649194,-0.00285465561079001,-0.00471945981994312,0.00353100645215625,-0.00103004853690567,-0.000909585517903403,0.000563273348608687,8.04300626757797e-06,0.000779989301049718,-0.00141110224608367,-0.00208080975280027,0.000597176286524464,0.00105074710531995,0.000549941821857375,0.00253231849287361,0.000570206067100953,-0.000243225246090229,0.000764972167517216,-0.000862760566282217,0.000617714185728173,-0.000150586427929976,0.000304571910898511,-0.00045277840097344,-0.000116714426367751,0.000202446434462263,-0.000270209716925859,0.000154227594242618,-0.000125360063230696,-8.62660745294966e-05,-8.40612788484077e-06,-1.77097836875891e-05,0.000103639263556522,3.73193737891725e-05,9.94898459462047e-05,7.73481453245912e-06,-5.77262246181021e-05,-5.28429023096611e-05,1.79501607452413e-05,-2.17233078876001e-09
"RG210009",0.165990074942387,-0.0735383951899709,-0.0022616107680461,-0.00342905690471569,0.0133208535352002,-0.0133390818713408,0.0143616180367912,-0.00742846846580367,0.00614980686699871,-0.00739496069324363,-0.0143380388639675,-0.0226050252621295,-0.00960066129734082,-0.00272496362928339,0.00129176768831124,0.00894149113668244,-0.00936109551462173,0.000258057792433945,-0.00470815955634528,0.000731670848102104,0.00905222001767787,0.00339122490628905,-2.86360735640565e-05,0.00461274891028246,0.00484150412848881,0.000775861765638864,0.00392785227511402,-0.000861284417183619,-0.000191714510766419,-0.00248167865873733,-0.00301210982477549,0.00383441112625462,-0.00105751011845722,0.0038369074997781,0.00126893916364081,-0.00213591775075251,-0.000664294712790022,0.000131318695749976,-0.00105182721891388,0.000136465091117163,0.00157946768730434,-0.000939870057715517,0.000845093275438998,0.00103794911869859,-0.00169161294593175,0.00028249664830602,-0.000250736263401262,-0.000769092274088049,0.000465530992892631,-1.4145342990017e-05,-0.000298231123489625,-0.000140526637587058,-5.89980278272399e-05,-0.000274337156557099,5.83708417862512e-05,5.1015893791618e-05,3.74814829175106e-05,-9.06945108050992e-05,-0.000117483027610385,4.59320437357358e-05,2.48361656631164e-05,4.55802703787232e-05,-3.39421256014031e-05,-1.28190159886245e-05,3.91984525226883e-10
"RG210010",-0.081594930163962,0.0194858594297444,-0.0395648613064967,-0.00494809900556029,0.0173453806899475,0.00753266265745163,0.00957552912601009,-0.00231649310947179,-0.000847334785877652,0.0181589981600389,0.00306586161554844,-0.00467131530656781,-0.00796786425458001,0.00399181308696325,0.00242414281914668,0.00129383661591195,-0.00418068501247739,0.00543028929167318,0.00274004312436661,0.0108651356342984,-0.00367701006275007,1.78390943215646e-05,0.00138153766937703,-0.00106578214821699,-0.00252251600970593,0.00664931342247419,-0.0022160899108692,0.00237974286940751,0.000268811803141815,-0.00119295764326021,-0.00145374836819195,0.00111866305893194,-0.000943216266639033,-0.000196513940320958,0.00160281868284661,0.00310379768840992,0.00142045303346353,0.000517270198075985,0.000805395333576144,-0.000953141919097166,7.57084669698843e-05,0.000610398625656171,-0.000739432673716393,9.4388344284943e-05,-0.000217685997039097,-0.00060879019452632,4.50287663080472e-07,-0.000441623913619494,0.000121754769339263,-5.5469765078864e-05,0.000130094859431202,-0.000144754920572034,0.000188591579967238,-0.000165791463774262,-0.000107563321024999,0.000191749712594338,4.9211063327966e-05,-3.41176720950039e-05,-8.98121073520055e-05,3.53772332146663e-05,-2.94136412360714e-07,-6.55607323869103e-06,-4.30275033089441e-07,5.63700088895788e-05,4.38662623146759e-09
"RG210011",-0.0151847242279667,0.0873228721249472,-0.0297750494709375,0.00156659331518106,-0.00481869081613775,-0.0124177352705671,0.0252986623570582,-0.00536615489901115,0.00426578509249864,0.00862086239441615,0.0115747513044845,-0.00563916132936165,-0.001239536758571,-0.00330570990815819,0.00267181859466128,0.00290124836500738,-0.00102698775007092,0.00217931046533176,-0.0076959755632509,0.0022716707929127,-0.00112231185003302,0.00260680858774207,-4.16971950820522e-05,-0.00846298774522374,0.00340540589600893,0.00612288572080251,-0.00066612872280021,0.000421386108935037,0.00127902728735059,-0.00444579622181449,-0.00254082905058425,0.000117748234344917,-0.00248641039340895,0.000860714166981958,-9.98044167791762e-05,-0.00079338814135454,-0.00206914193234035,0.000267457192857666,-0.00150941922254869,-0.000294566267240663,-0.000192408873367156,0.000671040891902658,-0.000678250005948158,0.000250066024938184,-0.0013550372607127,-0.000146739283838264,0.000199619835494042,-0.000153318341865785,2.00159336848871e-05,0.000196569080268622,0.000146717601319676,3.75726480080406e-05,0.000261618947683668,0.000130557360178696,3.82279371974199e-05,-9.34158404136518e-05,-6.68848234230968e-05,2.7070422232856e-05,6.50574499666115e-05,-4.60637698331134e-05,-4.18111626634439e-05,-3.45158695453427e-05,-2.2282196901133e-05,1.32562080986014e-05,-2.51665229974273e-09
"RG210012",-0.0787878992627768,-0.00406064338879669,-0.0270859680823703,0.0282274637426316,0.00594928762490813,0.00105611003406635,0.0173536251394595,0.0139604540327568,0.00224060880071753,0.00693156612738916,0.0118225174328148,0.000440794580883671,0.0123740902374815,-0.0148417213270129,0.00927639972607676,0.00153300483058069,-0.00465485553521787,-0.000974190655082244,0.00562117163011698,-0.00269583069334286,-0.00841364364285318,0.00541745205706834,-0.00814733189418466,-0.00344335456780347,-0.00131111209218415,1.5936962016926e-05,-0.000670908261977545,-0.000712564842205179,-0.00141871887573226,0.00168560908743578,0.00124122061495978,-0.000260520635394257,0.000296273584677378,0.00203289957109843,-0.00236571551881106,0.000186301044173422,0.00114499748360968,-0.000414016210332156,0.000272188821209094,0.000519956300742782,-0.000233093969423458,0.00102148656761201,0.0012507256055589,0.00036935025775544,0.000157641193521872,-0.000294212572292965,-0.000457789520420354,-0.000367011630678451,0.000370840554442392,0.000171825862167832,-0.000135705215305112,-8.0423562492565e-05,-5.6115336354359e-05,-1.04389978929821e-05,0.00028747138309276,-0.00016359893723951,-2.31290443209859e-05,5.58513632635435e-05,-2.07375764579561e-06,0.000102536017712672,-4.85404008358144e-05,9.64503368829818e-06,3.50220600649269e-05,5.35088567921682e-06,6.07767965666752e-09
"RG210013",0.0222283999036537,0.0191836051019157,-0.026217229368661,-0.0069012551667066,-0.0219332865593638,0.0145973181233118,-0.0279120851987616,-0.00269459854166763,-0.00942877251118863,-0.00234167573941573,0.0105571865079235,0.00707221672323606,0.0161554063088304,-0.00785795534251593,0.0181155555110992,-0.000506652527654503,-0.0019848651085464,-0.00279119175763965,0.00528211919081902,-0.00423149309093696,-0.00619148091097486,0.00371225297847964,-0.00303646330969037,0.00453209693949699,0.000990541881058602,0.00449942931246487,0.000879153728088719,-0.00125476609279534,0.00115407056641401,0.00167077780579639,0.00209490657287114,0.00246142778437937,0.000823850513289501,0.00106354291409611,0.00134513246876874,0.00157383898107328,0.000582509135413073,-5.42748738491451e-05,0.000731677383331909,-0.000695528057195303,0.000770644909506949,0.000220682712968036,-0.000454422216071576,-0.00101476663981582,-0.000754595377385801,0.000343976969426159,-0.000196790175451192,-0.000217708612702331,4.10721391600932e-05,-0.000477439951420082,-9.296280558404e-05,-0.000186138733314666,7.61099500225874e-05,-5.1892237702799e-05,-0.000186497001640903,-0.000154671817461418,-0.000128480326488674,-0.000101189901294456,-9.71850505867644e-05,-0.000236841781664416,4.1462576318744e-05,-3.27427382575651e-05,3.75792764785894e-05,-1.02681934209447e-05,-3.12895027567755e-09
"RG210014",-0.0327747938034796,-0.0435639866480089,-0.0234980760659095,-0.0125413908808718,-0.0219247424816777,0.00204308739436749,0.000506272442144732,-0.00299740833404715,-0.00721174222885138,-0.00230282917136539,-0.00864125007205889,0.00179564632316272,-0.00153055221074746,-0.0146162983118065,-0.00258961437267747,0.000815401442146455,-0.0106040298528763,-0.00414117856964521,0.01024197398509,0.00496673494952515,-0.0022676257509337,0.00439594130971094,8.38621153400933e-05,0.00171434513056137,0.00641436818264777,2.20417344112531e-05,0.00426207235928222,-0.00229943738469555,-0.00147092372019221,-0.00121629317275687,-0.00105345865720884,-0.000368525764265215,0.000644676539618625,0.00124955376840062,-0.000827275587954508,-0.000341215502592248,-0.000185929099884354,0.0006536065821119,0.000672673969826841,0.000573913559120411,-0.000149463225337123,-0.000396513015631418,-0.000613439177968785,0.000703073286413494,-0.00108869594745895,0.000102569200383839,0.0003057358615378,3.24196813433751e-05,-0.000482083619252502,0.000444868202709173,0.000186327807449375,5.97872458603144e-05,0.000244192705594173,-0.000123756540696154,9.31514799516027e-05,5.09400407847952e-05,1.57928817466339e-05,4.7858744510629e-05,3.91578920096263e-05,1.66534709830475e-05,3.63714898079192e-05,-1.32096359991773e-05,-2.2004915417491e-05,-4.45982894312108e-05,-1.66084261843097e-09
