"","Comp1","Comp2","Comp3","Comp4","Comp5","Comp6","Comp7","Comp8","Comp9","Comp10","Comp11","Comp12","Comp13","Comp14","Comp15","Comp16","Comp17","Comp18","Comp19","Comp20","Comp21","Comp22","Comp23","Comp24","Comp25","Comp26","Comp27","Comp28","Comp29","Comp30","Comp31","Comp32","Comp33","Comp34","Comp35","Comp36","Comp37","Comp38","Comp39","Comp40","Comp41","Comp42","Comp43","Comp44","Comp45","Comp46","Comp47","Comp48","Comp49","Comp50","Comp51","Comp52","Comp53","Comp54","Comp55","Comp56","Comp57","Comp58","Comp59","Comp60","Comp61","Comp62","Comp63","Comp64","Comp65"
"RG210001",-0.0375315775983942,-0.0380284561950313,-0.0173987833471854,0.0116437892467288,-0.0182637698849931,0.0143054816864174,-0.0130904512751725,0.0136198686427023,-0.0172653285988864,0.0240804450544397,0.00909040064948936,-0.00167227554482875,0.0074154433761359,0.013467842137279,0.0157077608123216,0.0145575046204487,0.00610940589965266,0.0007629324625586,-0.00125568955128779,-0.000226066323034904,-0.00146833060747925,-0.00195326076909986,0.00381725814375175,0.00307875748345289,0.00310180153511076,-0.00373907373211197,-0.00233241261174707,0.00480536087782493,0.00172187742220168,0.000692178583998448,0.000850744882389297,-0.0013607088129071,-0.000928263027805594,0.00246903050631792,0.000872091284178708,0.000637500712733644,-0.00030857834332016,-0.000445933045302117,0.00121344001194279,-0.000289118403787622,-0.00163139790600393,-0.000401317358095047,0.000192654717907602,-0.00101606008611722,0.00124280406505927,0.000511890213348347,2.06331370159806e-05,0.000268034898924586,-4.82737410199864e-05,0.000247476595315629,-7.44381981874723e-05,0.000170901745066263,-0.000136242989291314,-0.000436616787886263,-0.000109705071692068,7.34845398426889e-06,-8.17773689361562e-05,9.34825303730199e-05,-1.98455768188383e-05,0.000153385861689649,-2.81914302808006e-05,3.25929515417193e-05,-6.00797592708974e-06,-2.83223661704922e-07,-2.15893554878117e-09
"RG210004",0.0775182463107191,-0.0709121375261168,0.0137284459938717,-0.00821109604029982,0.014647400939218,-0.00602359954196467,0.0233069952722324,-0.00129981605519765,-0.00546307181663168,-0.037019384786678,0.0159365357893009,0.00482635418632817,-0.00343984534895867,-0.000951702614753511,0.0196995655122558,-0.00303387551824709,-0.00277476688707098,0.000205651162580135,-0.00556453116734324,0.00521246760774428,-0.0033362211105275,0.00202245127198948,0.00532657822777731,0.00300904501711929,0.00317097079909374,0.00742613626495636,0.00342869214754216,-0.00269886460452092,0.00295383479843337,-0.00289813552403798,0.000873993617428841,0.00357793171444563,-0.00196261587048113,0.00066553263487464,0.00158771945578036,0.00150306193334674,0.000168673066578144,0.000123061764160477,-0.00354761485101316,0.00246567334541605,-7.3719846049544e-05,0.000264716325205023,-0.00158520988328534,0.00057981254261987,-7.28110127589201e-06,-0.000322611911176128,-0.000102761403949291,-0.000175701994484796,0.000528318855158365,-0.00043699051984979,0.000460832179646032,0.000339471021936105,-0.000275346719273709,5.59213639059523e-05,0.000114469721344486,4.35400840650139e-05,-0.000117501222855485,9.79034475850407e-05,0.000113178149856839,4.68894781345752e-05,-8.52888211499074e-05,5.44156468006111e-05,1.84346911614646e-05,9.65779605697147e-06,-4.56036291238485e-09
"RG210007",-0.074804374683128,0.0376942386261301,-0.0138957669065226,-0.0132996346104173,0.0233958920256024,0.0625034817072115,-0.00840672550319621,-0.0164555013571478,0.042374271354169,-0.0519900049829462,0.0253508861896856,-0.00259650964646196,-0.0386955469318617,-0.000306279489206919,0.000531458507477968,0.0175402604955033,0.0132992295182269,-0.00124185112505269,0.0204713898300593,-0.0138810553636788,-0.00452654796107012,0.00480646107793251,0.00773319343764506,0.00364481271866137,0.00597649062669152,-0.00588247657563125,7.23666048245779e-05,0.00156173470752782,-0.00181788703953197,-0.00397924108985581,0.00317608940560317,-0.000813563915049297,-0.00263524743758204,-0.000143654235724952,-0.00061648933406991,-0.00106102172681179,9.25567935014483e-07,-0.00049232030784893,0.000136362761641884,-0.00106956209940239,-0.000306467285358173,-0.000461161563709272,-0.000429630496700606,7.14116067865639e-05,0.000515465445117864,-0.00147640233459146,-0.00269582007718188,0.00109889200652485,0.000188582114713796,4.90529409335653e-05,-0.000217255956076053,0.000172394305356936,0.000411590505233354,4.19443028977588e-05,0.000125238125113851,5.67351559473783e-05,0.000110584597179822,1.58255311951212e-05,-4.83788400441593e-05,9.21606961660335e-06,-2.83867322522093e-05,-2.23446369903756e-05,-1.94547850069862e-05,2.14427510707411e-06,1.59358362139886e-09
"RG210008",0.0759885182364812,0.00097047099887538,-0.0141840664279661,0.00369390828627361,-0.0043260385680667,-0.00637020119111209,-0.00267473109727526,0.00124323835059621,-0.0201348542309174,-0.000782034537991937,0.0103403855106972,0.00779064328769013,-0.0154405635541173,-0.0175756071668691,0.0128640704184113,0.00558065692928657,-0.00062274511437807,0.0102047649122844,0.000989045844318782,-0.00512198596648532,-0.00345058429961192,0.00708696597131957,0.000187231095236937,-0.0017517590197777,0.00617302988116343,0.0011910616988763,-0.000901761116638556,-0.00285465561078329,-0.00471945981993431,0.00353100645216144,-0.00103004853692196,-0.000909585517928196,0.000563273348596123,8.04300627854012e-06,0.000779989301056228,-0.00141110224609473,-0.00208080975279889,0.000597176286524491,0.00105074710533193,0.000549941821852999,0.00253231849286612,0.000570206067115605,-0.000243225246096057,0.000764972167514059,-0.000862760566280792,0.000617714185729565,-0.000150586427926971,0.000304571910898635,-0.000452778400972661,-0.000116714426367033,0.000202446434459735,-0.000270209716918704,0.00015422759424993,-0.000125360063229608,-8.62660745304711e-05,-8.4061278829854e-06,-1.77097836853597e-05,0.000103639263557448,3.73193737891423e-05,9.9489845946029e-05,7.73481453230246e-06,-5.77262246182601e-05,-5.28429023091106e-05,1.79501607455003e-05,-2.17233077197138e-09
"RG210009",0.165990074942324,-0.073538395190055,-0.00226161076806542,-0.00342905690471588,0.0133208535351526,-0.0133390818714321,0.0143616180368041,-0.00742846846572877,0.0061498068670041,-0.00739496069328191,-0.0143380388639354,-0.0226050252619792,-0.00960066129760719,-0.00272496362945476,0.00129176768833192,0.00894149113675864,-0.00936109551464158,0.000258057792207309,-0.00470815955625784,0.000731670848102896,0.00905222001764735,0.00339122490641243,-2.86360735219116e-05,0.00461274891026265,0.00484150412847264,0.000775861765671108,0.0039278522751152,-0.000861284417194437,-0.000191714510770369,-0.00248167865875599,-0.00301210982478163,0.00383441112624105,-0.00105751011846782,0.00383690749977084,0.00126893916363624,-0.00213591775074656,-0.000664294712794285,0.000131318695745647,-0.0010518272189147,0.000136465091120913,0.00157946768730948,-0.000939870057711442,0.000845093275438335,0.00103794911869832,-0.0016916129459314,0.000282496648306937,-0.00025073626340384,-0.000769092274089595,0.000465530992891562,-1.41453429893797e-05,-0.000298231123486337,-0.000140526637591308,-5.89980278263823e-05,-0.000274337156557516,5.83708417874689e-05,5.10158937919646e-05,3.74814829149027e-05,-9.06945108056668e-05,-0.000117483027610387,4.59320437357382e-05,2.48361656632106e-05,4.55802703784963e-05,-3.3942125601709e-05,-1.28190159883277e-05,3.91984620543712e-10
"RG210010",-0.0815949301639464,0.0194858594298439,-0.0395648613064888,-0.00494809900554886,0.0173453806899691,0.00753266265738014,0.00957552912602246,-0.00231649310946766,-0.000847334785929213,0.0181589981600498,0.0030658616154765,-0.0046713153065104,-0.00796786425457089,0.00399181308702324,0.00242414281912989,0.00129383661594094,-0.00418068501258268,0.00543028929161081,0.00274004312435864,0.0108651356342284,-0.00367701006283815,1.7839094348595e-05,0.00138153766938665,-0.00106578214817087,-0.00252251600969141,0.00664931342247834,-0.0022160899108974,0.00237974286941747,0.000268811803147189,-0.00119295764327648,-0.00145374836819318,0.00111866305892535,-0.000943216266645055,-0.000196513940319483,0.00160281868284472,0.00310379768840442,0.00142045303346651,0.000517270198080127,0.000805395333576015,-0.000953141919098448,7.57084669671775e-05,0.000610398625658774,-0.000739432673717401,9.43883442843359e-05,-0.000217685997038512,-0.000608790194526738,4.5028766350151e-07,-0.000441623913619164,0.000121754769338254,-5.54697650771968e-05,0.000130094859431338,-0.000144754920568725,0.000188591579969292,-0.00016579146377379,-0.000107563321025673,0.000191749712595407,4.92110633226638e-05,-3.4117672096167e-05,-8.98121073524968e-05,3.53772332145106e-05,-2.9413641218921e-07,-6.55607323866926e-06,-4.30275032821814e-07,5.63700088896876e-05,4.38662613633407e-09
"RG210011",-0.0151847242278995,0.0873228721250091,-0.0297750494709019,0.00156659331515544,-0.00481869081612738,-0.0124177352706964,0.0252986623569859,-0.00536615489890701,0.00426578509249404,0.00862086239454447,0.0115747513044629,-0.00563916132932516,-0.001239536758625,-0.00330570990816854,0.00267181859466879,0.00290124836499475,-0.00102698775014967,0.00217931046528377,-0.00769597556325952,0.00227167079289288,-0.00112231185006287,0.00260680858771029,-4.16971951089653e-05,-0.00846298774523564,0.00340540589598308,0.0061228857208023,-0.000666128722824664,0.000421386108936563,0.00127902728734638,-0.00444579622182659,-0.00254082905055984,0.000117748234334471,-0.00248641039341526,0.000860714166972628,-9.98044167810233e-05,-0.000793388141350867,-0.00206914193234159,0.000267457192852671,-0.00150941922255268,-0.00029456626723744,-0.000192408873366529,0.000671040891905456,-0.000678250005947208,0.000250066024937871,-0.00135503726071298,-0.000146739283837659,0.000199619835493598,-0.000153318341867192,2.0015933685685e-05,0.000196569080268987,0.000146717601318339,3.75726480151476e-05,0.000261618947683869,0.000130557360178988,3.82279371965358e-05,-9.34158404152699e-05,-6.68848234205375e-05,2.70704222336734e-05,6.50574499666694e-05,-4.60637698329337e-05,-4.18111626638417e-05,-3.4515869545489e-05,-2.22821969010035e-05,1.32562080986352e-05,-2.51665238540193e-09
"RG210012",-0.0787878992627773,-0.00406064338868854,-0.0270859680823813,0.0282274637426383,0.00594928762488329,0.0010561100339465,0.0173536251393768,0.0139604540328246,0.00224060880076704,0.00693156612753656,0.0118225174327801,0.000440794580919623,0.0123740902374239,-0.0148417213270383,0.00927639972602516,0.00153300483060968,-0.00465485553511262,-0.000974190655188531,0.00562117163013906,-0.00269583069342519,-0.00841364364287839,0.00541745205693591,-0.00814733189426698,-0.00344335456780071,-0.00131111209218595,1.593696200735e-05,-0.00067090826197236,-0.000712564842198044,-0.00141871887572633,0.00168560908744282,0.00124122061494276,-0.000260520635399426,0.000296273584669503,0.00203289957110921,-0.00236571551880593,0.00018630104416671,0.00114499748361381,-0.000414016210334407,0.000272188821215564,0.000519956300743528,-0.000233093969431202,0.00102148656761122,0.0012507256055588,0.000369350257758934,0.000157641193522923,-0.00029421257229393,-0.000457789520420965,-0.000367011630679381,0.000370840554441601,0.000171825862166873,-0.000135705215306343,-8.04235624936676e-05,-5.61153363523389e-05,-1.04389978927164e-05,0.000287471383091983,-0.000163598937240893,-2.31290443166232e-05,5.58513632641925e-05,-2.07375764567161e-06,0.000102536017712775,-4.85404008354059e-05,9.64503368837084e-06,3.50220600649985e-05,5.35088567937411e-06,6.07767956280073e-09
"RG210013",0.0222283999036565,0.0191836051019466,-0.0262172293686159,-0.00690125516674776,-0.0219332865593567,0.0145973181234803,-0.0279120851986505,-0.00269459854179031,-0.00942877251119683,-0.00234167573944922,0.0105571865079319,0.00707221672313966,0.0161554063088931,-0.00785795534252706,0.0181155555110601,-0.000506652527595256,-0.0019848651084299,-0.00279119175771458,0.00528211919086815,-0.00423149309100379,-0.00619148091098818,0.00371225297844287,-0.00303646330973176,0.00453209693947893,0.000990541881085726,0.00449942931245562,0.000879153728053653,-0.00125476609280648,0.001154070566424,0.00167077780580436,0.00209490657285118,0.00246142778438905,0.000823850513286055,0.00106354291409963,0.00134513246876432,0.0015738389810727,0.000582509135412445,-5.42748738448154e-05,0.000731677383331632,-0.000695528057195965,0.00077064490950635,0.000220682712973252,-0.000454422216069628,-0.00101476663981531,-0.000754595377385736,0.000343976969426356,-0.000196790175452201,-0.000217708612702031,4.1072139159291e-05,-0.000477439951419479,-9.29628055813532e-05,-0.000186138733316284,7.61099500237845e-05,-5.18922377034525e-05,-0.000186497001641877,-0.000154671817465131,-0.000128480326486115,-0.000101189901293038,-9.7185050586629e-05,-0.000236841781664487,4.14625763176049e-05,-3.27427382578627e-05,3.75792764785679e-05,-1.02681934212321e-05,-3.12895030978727e-09
"RG210014",-0.0327747938035182,-0.0435639866479246,-0.0234980760658797,-0.0125413908809159,-0.0219247424816713,0.00204308739440056,0.000506272442206674,-0.00299740833401481,-0.00721174222884553,-0.00230282917137569,-0.0086412500720057,0.00179564632333227,-0.00153055221084401,-0.0146162983118382,-0.00258961437273405,0.000815401442222532,-0.0106040298527002,-0.00414117856982887,0.0102419739851632,0.00496673494945585,-0.00226762575100981,0.00439594130975031,8.38621153207791e-05,0.00171434513052724,0.00641436818263637,2.20417344262843e-05,0.00426207235929544,-0.0022994373847043,-0.00147092372019665,-0.00121629317276368,-0.00105345865721288,-0.000368525764278208,0.000644676539612233,0.00124955376840845,-0.000827275587954058,-0.000341215502597731,-0.000185929099879228,0.000653606582110323,0.000672673969828979,0.000573913559118465,-0.000149463225346838,-0.000396513015628602,-0.000613439177968492,0.000703073286412072,-0.00108869594745928,0.000102569200381965,0.000305735861537479,3.24196813439827e-05,-0.000482083619251775,0.000444868202707482,0.000186327807446089,5.97872458686534e-05,0.000244192705595646,-0.000123756540696464,9.31514799516712e-05,5.09400407853094e-05,1.57928817452366e-05,4.78587445110968e-05,3.91578920093765e-05,1.66534709830887e-05,3.63714898080563e-05,-1.32096359992115e-05,-2.20049154178171e-05,-4.45982894307787e-05,-1.66084276138814e-09
